Name,Preparation Method,Preparation Time (Minutes),Country,Category,Ingredients,Rating,Ingredient Count,Cost Price (EGP),Selling Price (EGP)
Croissant 146,"Prepare layered dough with butter, shape, and bake.",75,Mexico,Main Course,"Flour, Butter, Milk, Yeast",3.4,4,32,56
Croissant 149,"Prepare layered dough with butter, shape, and bake.",146,USA,Soup,"Flour, Butter, Milk, Yeast",3.3,4,25,67
Pancake 378,"Mix batter, cook on griddle, and serve with syrup.",68,Mexico,Soup,"Flour, Eggs, Milk, Syrup",3.5,4,44,72
Croissant 544,"Prepare layered dough with butter, shape, and bake.",23,Thailand,Main Course,"Flour, Butter, Milk, Yeast",3.4,4,71,43
Paella 542,"Cook rice with saffron, seafood, and vegetables.",79,Turkey,Soup,"Rice, Saffron, Seafood, Bell Peppers",3.4,4,42,66
Paella 499,"Cook rice with saffron, seafood, and vegetables.",66,USA,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.8,4,38,65
Croissant 317,"Prepare layered dough with butter, shape, and bake.",16,Italy,Breakfast,"Flour, Butter, Milk, Yeast",4.7,4,35,60
Paella 670,"Cook rice with saffron, seafood, and vegetables.",17,Mexico,Main Course,"Rice, Saffron, Seafood, Bell Peppers",4.2,4,45,52
Paella 54,"Cook rice with saffron, seafood, and vegetables.",27,Thailand,Snack,"Rice, Saffron, Seafood, Bell Peppers",3.1,4,59,50
Pasta 471,Cook pasta with sauce and mix ingredients.,174,Middle East,Dessert,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.6,4,74,185
Pancake 40,"Mix batter, cook on griddle, and serve with syrup.",113,France,Soup,"Flour, Eggs, Milk, Syrup",3.3,4,42,73
Paella 451,"Cook rice with saffron, seafood, and vegetables.",136,Thailand,Dessert,"Rice, Saffron, Seafood, Bell Peppers",5.0,4,116,135
Curry 336,Simmer protein or vegetables in spiced sauce.,16,Japan,Main Course,"Chicken, Coconut Milk, Spices, Onions",3.1,4,59,89
Paella 606,"Cook rice with saffron, seafood, and vegetables.",180,Spain,Appetizer,"Rice, Saffron, Seafood, Bell Peppers",3.8,4,21,78
Paella 892,"Cook rice with saffron, seafood, and vegetables.",61,China,Snack,"Rice, Saffron, Seafood, Bell Peppers",3.7,4,49,96
Pancake 574,"Mix batter, cook on griddle, and serve with syrup.",43,Italy,Dessert,"Flour, Eggs, Milk, Syrup",4.5,4,119,130
Falafel 74,Blend chickpeas and fry into balls.,143,Italy,Appetizer,"Chickpeas, Garlic, Parsley, Spices",4.0,4,76,93
Falafel 717,Blend chickpeas and fry into balls.,46,Middle East,Breakfast,"Chickpeas, Garlic, Parsley, Spices",4.6,4,49,97
Hamburger 477,"Grill beef patty, add toppings and sandwich in bun.",117,France,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.1,5,72,50
Pancake 377,"Mix batter, cook on griddle, and serve with syrup.",23,Middle East,Main Course,"Flour, Eggs, Milk, Syrup",3.7,4,55,115
Falafel 452,Blend chickpeas and fry into balls.,164,India,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.6,4,32,61
Curry 918,Simmer protein or vegetables in spiced sauce.,158,Italy,Breakfast,"Chicken, Coconut Milk, Spices, Onions",4.2,4,59,50
Hamburger 202,"Grill beef patty, add toppings and sandwich in bun.",173,India,Appetizer,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.4,5,38,50
Hamburger 413,"Grill beef patty, add toppings and sandwich in bun.",93,Thailand,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.2,5,62,50
Pancake 515,"Mix batter, cook on griddle, and serve with syrup.",99,Middle East,Soup,"Flour, Eggs, Milk, Syrup",3.0,4,31,53
Pancake 838,"Mix batter, cook on griddle, and serve with syrup.",92,Turkey,Soup,"Flour, Eggs, Milk, Syrup",4.3,4,38,51
Paella 908,"Cook rice with saffron, seafood, and vegetables.",44,USA,Snack,"Rice, Saffron, Seafood, Bell Peppers",3.1,4,37,93
Pasta 951,Cook pasta with sauce and mix ingredients.,51,Thailand,Main Course,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.6,4,79,44
Hamburger 329,"Grill beef patty, add toppings and sandwich in bun.",92,USA,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",5.0,5,43,50
Pasta 891,Cook pasta with sauce and mix ingredients.,14,China,Main Course,"Pasta, Tomato Sauce, Cheese, Olive Oil",3.7,4,27,139
Falafel 805,Blend chickpeas and fry into balls.,46,China,Snack,"Chickpeas, Garlic, Parsley, Spices",3.5,4,68,87
Hamburger 782,"Grill beef patty, add toppings and sandwich in bun.",12,Japan,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.8,5,50,50
Croissant 200,"Prepare layered dough with butter, shape, and bake.",128,Italy,Dessert,"Flour, Butter, Milk, Yeast",4.6,4,97,180
Curry 40,Simmer protein or vegetables in spiced sauce.,66,Mexico,Main Course,"Chicken, Coconut Milk, Spices, Onions",4.4,4,58,83
Croissant 990,"Prepare layered dough with butter, shape, and bake.",38,Italy,Breakfast,"Flour, Butter, Milk, Yeast",3.4,4,42,56
Baklava 404,Layer phyllo dough with nuts and syrup.,152,Turkey,Dessert,"Phyllo Dough, Honey, Nuts, Cinnamon",3.0,4,84,171
Falafel 510,Blend chickpeas and fry into balls.,87,Japan,Soup,"Chickpeas, Garlic, Parsley, Spices",4.1,4,31,40
Falafel 602,Blend chickpeas and fry into balls.,28,France,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.9,4,48,97
Paella 239,"Cook rice with saffron, seafood, and vegetables.",68,Thailand,Dessert,"Rice, Saffron, Seafood, Bell Peppers",4.8,4,55,169
Falafel 794,Blend chickpeas and fry into balls.,180,Thailand,Main Course,"Chickpeas, Garlic, Parsley, Spices",3.1,4,67,141
Baklava 753,Layer phyllo dough with nuts and syrup.,165,India,Appetizer,"Phyllo Dough, Honey, Nuts, Cinnamon",4.1,4,62,40
Baklava 43,Layer phyllo dough with nuts and syrup.,77,Spain,Dessert,"Phyllo Dough, Honey, Nuts, Cinnamon",4.9,4,59,150
Pancake 254,"Mix batter, cook on griddle, and serve with syrup.",44,Thailand,Breakfast,"Flour, Eggs, Milk, Syrup",3.6,4,36,73
Hamburger 499,"Grill beef patty, add toppings and sandwich in bun.",179,Thailand,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.8,5,66,50
Croissant 359,"Prepare layered dough with butter, shape, and bake.",15,China,Soup,"Flour, Butter, Milk, Yeast",4.1,4,40,58
Hamburger 145,"Grill beef patty, add toppings and sandwich in bun.",175,Spain,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.8,5,40,50
Taco 994,"Fill tortilla with protein, veggies, and sauce.",25,Italy,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.1,5,24,51
Pasta 827,Cook pasta with sauce and mix ingredients.,98,Middle East,Snack,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.5,4,38,93
Falafel 94,Blend chickpeas and fry into balls.,173,China,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.9,4,108,188
Hamburger 286,"Grill beef patty, add toppings and sandwich in bun.",46,Thailand,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.9,5,85,50
Falafel 181,Blend chickpeas and fry into balls.,21,Spain,Appetizer,"Chickpeas, Garlic, Parsley, Spices",3.1,4,38,92
Pancake 773,"Mix batter, cook on griddle, and serve with syrup.",107,Japan,Appetizer,"Flour, Eggs, Milk, Syrup",4.9,4,49,147
Taco 301,"Fill tortilla with protein, veggies, and sauce.",14,India,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.1,5,38,40
Croissant 853,"Prepare layered dough with butter, shape, and bake.",32,Turkey,Snack,"Flour, Butter, Milk, Yeast",3.1,4,58,62
Paella 286,"Cook rice with saffron, seafood, and vegetables.",86,Mexico,Soup,"Rice, Saffron, Seafood, Bell Peppers",3.7,4,49,75
Baklava 593,Layer phyllo dough with nuts and syrup.,24,Thailand,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",4.9,4,34,50
Curry 609,Simmer protein or vegetables in spiced sauce.,62,Mexico,Snack,"Chicken, Coconut Milk, Spices, Onions",4.1,4,55,57
Curry 743,Simmer protein or vegetables in spiced sauce.,25,Japan,Snack,"Chicken, Coconut Milk, Spices, Onions",4.2,4,60,70
Baklava 446,Layer phyllo dough with nuts and syrup.,150,Thailand,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",4.2,4,40,70
Paella 272,"Cook rice with saffron, seafood, and vegetables.",179,Italy,Appetizer,"Rice, Saffron, Seafood, Bell Peppers",3.6,4,72,125
Pancake 643,"Mix batter, cook on griddle, and serve with syrup.",118,France,Breakfast,"Flour, Eggs, Milk, Syrup",3.2,4,26,86
Paella 321,"Cook rice with saffron, seafood, and vegetables.",113,Japan,Dessert,"Rice, Saffron, Seafood, Bell Peppers",3.4,4,54,102
Paella 70,"Cook rice with saffron, seafood, and vegetables.",49,USA,Soup,"Rice, Saffron, Seafood, Bell Peppers",4.9,4,20,62
Falafel 999,Blend chickpeas and fry into balls.,177,Spain,Main Course,"Chickpeas, Garlic, Parsley, Spices",3.8,4,39,45
Paella 205,"Cook rice with saffron, seafood, and vegetables.",38,China,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.7,4,31,73
Pancake 242,"Mix batter, cook on griddle, and serve with syrup.",177,Japan,Soup,"Flour, Eggs, Milk, Syrup",3.7,4,45,42
Curry 841,Simmer protein or vegetables in spiced sauce.,53,Italy,Appetizer,"Chicken, Coconut Milk, Spices, Onions",5.0,4,34,140
Curry 783,Simmer protein or vegetables in spiced sauce.,97,China,Soup,"Chicken, Coconut Milk, Spices, Onions",3.4,4,27,50
Baklava 168,Layer phyllo dough with nuts and syrup.,67,Turkey,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",3.6,4,41,60
Paella 32,"Cook rice with saffron, seafood, and vegetables.",29,Thailand,Snack,"Rice, Saffron, Seafood, Bell Peppers",3.2,4,46,53
Pasta 316,Cook pasta with sauce and mix ingredients.,112,India,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.5,4,79,144
Hamburger 318,"Grill beef patty, add toppings and sandwich in bun.",135,Middle East,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.6,5,21,50
Falafel 417,Blend chickpeas and fry into balls.,71,Mexico,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.5,4,109,101
Pancake 43,"Mix batter, cook on griddle, and serve with syrup.",38,India,Soup,"Flour, Eggs, Milk, Syrup",3.4,4,32,71
Hamburger 722,"Grill beef patty, add toppings and sandwich in bun.",89,Turkey,Main Course,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.1,5,22,50
Hamburger 547,"Grill beef patty, add toppings and sandwich in bun.",113,Spain,Soup,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.5,5,24,50
Paella 912,"Cook rice with saffron, seafood, and vegetables.",115,Spain,Main Course,"Rice, Saffron, Seafood, Bell Peppers",4.0,4,58,90
Croissant 476,"Prepare layered dough with butter, shape, and bake.",76,Spain,Soup,"Flour, Butter, Milk, Yeast",3.6,4,26,63
Croissant 517,"Prepare layered dough with butter, shape, and bake.",117,Japan,Dessert,"Flour, Butter, Milk, Yeast",4.7,4,68,91
Taco 767,"Fill tortilla with protein, veggies, and sauce.",41,China,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.2,5,59,149
Falafel 747,Blend chickpeas and fry into balls.,86,Mexico,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.5,4,60,130
Curry 501,Simmer protein or vegetables in spiced sauce.,42,Spain,Soup,"Chicken, Coconut Milk, Spices, Onions",3.5,4,44,76
Curry 261,Simmer protein or vegetables in spiced sauce.,38,China,Dessert,"Chicken, Coconut Milk, Spices, Onions",3.3,4,115,170
Pancake 800,"Mix batter, cook on griddle, and serve with syrup.",131,Japan,Dessert,"Flour, Eggs, Milk, Syrup",3.7,4,74,193
Croissant 811,"Prepare layered dough with butter, shape, and bake.",25,Thailand,Appetizer,"Flour, Butter, Milk, Yeast",4.0,4,29,114
Croissant 130,"Prepare layered dough with butter, shape, and bake.",40,USA,Soup,"Flour, Butter, Milk, Yeast",3.3,4,46,49
Croissant 433,"Prepare layered dough with butter, shape, and bake.",106,France,Appetizer,"Flour, Butter, Milk, Yeast",4.5,4,43,103
Taco 996,"Fill tortilla with protein, veggies, and sauce.",77,China,Soup,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.1,5,21,49
Paella 650,"Cook rice with saffron, seafood, and vegetables.",155,USA,Soup,"Rice, Saffron, Seafood, Bell Peppers",4.5,4,37,78
Taco 52,"Fill tortilla with protein, veggies, and sauce.",162,France,Dessert,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.2,5,95,199
Baklava 848,Layer phyllo dough with nuts and syrup.,78,USA,Appetizer,"Phyllo Dough, Honey, Nuts, Cinnamon",4.8,4,58,43
Croissant 847,"Prepare layered dough with butter, shape, and bake.",114,India,Snack,"Flour, Butter, Milk, Yeast",3.5,4,46,92
Hamburger 720,"Grill beef patty, add toppings and sandwich in bun.",16,Mexico,Appetizer,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.5,5,35,50
Curry 986,Simmer protein or vegetables in spiced sauce.,174,Spain,Snack,"Chicken, Coconut Milk, Spices, Onions",3.9,4,44,78
Paella 896,"Cook rice with saffron, seafood, and vegetables.",159,China,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",3.1,4,53,52
Baklava 850,Layer phyllo dough with nuts and syrup.,11,China,Soup,"Phyllo Dough, Honey, Nuts, Cinnamon",3.4,4,24,74
Baklava 773,Layer phyllo dough with nuts and syrup.,179,Italy,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",4.2,4,37,82
Hamburger 116,"Grill beef patty, add toppings and sandwich in bun.",12,Turkey,Snack,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.4,5,68,50
Taco 439,"Fill tortilla with protein, veggies, and sauce.",47,Spain,Main Course,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.1,5,36,106
Falafel 327,Blend chickpeas and fry into balls.,87,Mexico,Main Course,"Chickpeas, Garlic, Parsley, Spices",3.1,4,78,57
Baklava 145,Layer phyllo dough with nuts and syrup.,162,Italy,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",4.1,4,50,92
Taco 616,"Fill tortilla with protein, veggies, and sauce.",52,Italy,Appetizer,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.4,5,72,46
Croissant 472,"Prepare layered dough with butter, shape, and bake.",165,Spain,Main Course,"Flour, Butter, Milk, Yeast",4.5,4,39,121
Baklava 454,Layer phyllo dough with nuts and syrup.,66,Japan,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",3.2,4,57,104
Falafel 693,Blend chickpeas and fry into balls.,37,Japan,Dessert,"Chickpeas, Garlic, Parsley, Spices",3.1,4,54,191
Hamburger 991,"Grill beef patty, add toppings and sandwich in bun.",171,Thailand,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.5,5,92,50
Hamburger 451,"Grill beef patty, add toppings and sandwich in bun.",50,Spain,Soup,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.7,5,31,50
Hamburger 689,"Grill beef patty, add toppings and sandwich in bun.",111,Mexico,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.4,5,49,50
Baklava 618,Layer phyllo dough with nuts and syrup.,74,USA,Dessert,"Phyllo Dough, Honey, Nuts, Cinnamon",3.6,4,81,144
Falafel 128,Blend chickpeas and fry into balls.,23,Middle East,Appetizer,"Chickpeas, Garlic, Parsley, Spices",4.6,4,65,150
Pancake 870,"Mix batter, cook on griddle, and serve with syrup.",72,Japan,Breakfast,"Flour, Eggs, Milk, Syrup",4.0,4,55,56
Paella 860,"Cook rice with saffron, seafood, and vegetables.",92,India,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.7,4,39,74
Hamburger 570,"Grill beef patty, add toppings and sandwich in bun.",49,India,Soup,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.9,5,24,50
Hamburger 54,"Grill beef patty, add toppings and sandwich in bun.",142,Italy,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.1,5,53,50
Croissant 991,"Prepare layered dough with butter, shape, and bake.",36,Middle East,Main Course,"Flour, Butter, Milk, Yeast",3.9,4,44,78
Hamburger 676,"Grill beef patty, add toppings and sandwich in bun.",100,Turkey,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.3,5,26,50
Pancake 709,"Mix batter, cook on griddle, and serve with syrup.",120,Turkey,Soup,"Flour, Eggs, Milk, Syrup",3.6,4,25,46
Curry 78,Simmer protein or vegetables in spiced sauce.,82,Japan,Appetizer,"Chicken, Coconut Milk, Spices, Onions",4.3,4,80,105
Curry 42,Simmer protein or vegetables in spiced sauce.,136,Japan,Snack,"Chicken, Coconut Milk, Spices, Onions",5.0,4,31,96
Falafel 186,Blend chickpeas and fry into balls.,116,Spain,Appetizer,"Chickpeas, Garlic, Parsley, Spices",3.9,4,27,71
Baklava 737,Layer phyllo dough with nuts and syrup.,150,Middle East,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",4.2,4,31,74
Curry 780,Simmer protein or vegetables in spiced sauce.,162,France,Soup,"Chicken, Coconut Milk, Spices, Onions",4.4,4,23,58
Pancake 463,"Mix batter, cook on griddle, and serve with syrup.",54,Mexico,Breakfast,"Flour, Eggs, Milk, Syrup",3.1,4,29,61
Pancake 998,"Mix batter, cook on griddle, and serve with syrup.",157,India,Dessert,"Flour, Eggs, Milk, Syrup",4.2,4,100,92
Taco 203,"Fill tortilla with protein, veggies, and sauce.",140,Mexico,Breakfast,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.2,5,33,59
Taco 331,"Fill tortilla with protein, veggies, and sauce.",62,France,Breakfast,"Tortilla, Beef, Cheese, Lettuce, Salsa",4.0,5,31,50
Croissant 239,"Prepare layered dough with butter, shape, and bake.",141,Turkey,Snack,"Flour, Butter, Milk, Yeast",3.4,4,33,70
Pancake 671,"Mix batter, cook on griddle, and serve with syrup.",111,France,Main Course,"Flour, Eggs, Milk, Syrup",4.5,4,53,83
Falafel 921,Blend chickpeas and fry into balls.,127,Middle East,Soup,"Chickpeas, Garlic, Parsley, Spices",4.9,4,27,60
Curry 372,Simmer protein or vegetables in spiced sauce.,72,Spain,Appetizer,"Chicken, Coconut Milk, Spices, Onions",3.4,4,53,137
Baklava 274,Layer phyllo dough with nuts and syrup.,157,Turkey,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",5.0,4,35,95
Paella 997,"Cook rice with saffron, seafood, and vegetables.",73,Italy,Dessert,"Rice, Saffron, Seafood, Bell Peppers",4.5,4,99,181
Pancake 823,"Mix batter, cook on griddle, and serve with syrup.",101,India,Soup,"Flour, Eggs, Milk, Syrup",3.1,4,34,78
Pancake 493,"Mix batter, cook on griddle, and serve with syrup.",177,China,Soup,"Flour, Eggs, Milk, Syrup",4.5,4,50,51
Paella 549,"Cook rice with saffron, seafood, and vegetables.",104,Turkey,Dessert,"Rice, Saffron, Seafood, Bell Peppers",4.8,4,119,124
Falafel 138,Blend chickpeas and fry into balls.,45,France,Soup,"Chickpeas, Garlic, Parsley, Spices",4.7,4,34,50
Pancake 842,"Mix batter, cook on griddle, and serve with syrup.",50,Italy,Breakfast,"Flour, Eggs, Milk, Syrup",4.5,4,26,69
Curry 648,Simmer protein or vegetables in spiced sauce.,78,Middle East,Snack,"Chicken, Coconut Milk, Spices, Onions",4.8,4,38,68
Paella 401,"Cook rice with saffron, seafood, and vegetables.",130,Spain,Soup,"Rice, Saffron, Seafood, Bell Peppers",4.1,4,32,45
Paella 267,"Cook rice with saffron, seafood, and vegetables.",59,China,Soup,"Rice, Saffron, Seafood, Bell Peppers",4.1,4,21,53
Paella 182,"Cook rice with saffron, seafood, and vegetables.",10,Mexico,Soup,"Rice, Saffron, Seafood, Bell Peppers",4.6,4,24,47
Hamburger 617,"Grill beef patty, add toppings and sandwich in bun.",53,Thailand,Breakfast,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.5,5,42,50
Paella 260,"Cook rice with saffron, seafood, and vegetables.",39,France,Dessert,"Rice, Saffron, Seafood, Bell Peppers",4.4,4,93,113
Pancake 176,"Mix batter, cook on griddle, and serve with syrup.",49,China,Main Course,"Flour, Eggs, Milk, Syrup",3.7,4,49,90
Paella 482,"Cook rice with saffron, seafood, and vegetables.",114,India,Snack,"Rice, Saffron, Seafood, Bell Peppers",4.1,4,52,69
Baklava 742,Layer phyllo dough with nuts and syrup.,61,Mexico,Soup,"Phyllo Dough, Honey, Nuts, Cinnamon",4.2,4,22,66
Pancake 334,"Mix batter, cook on griddle, and serve with syrup.",163,China,Soup,"Flour, Eggs, Milk, Syrup",3.7,4,30,54
Hamburger 712,"Grill beef patty, add toppings and sandwich in bun.",35,India,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.9,5,57,50
Croissant 407,"Prepare layered dough with butter, shape, and bake.",50,Middle East,Main Course,"Flour, Butter, Milk, Yeast",3.2,4,39,80
